x-axis,1,2
second,Volt,Volt
-1.000001E+00,+3.298832E+00,-19.146E-03
-999.001E-03,+3.302965E+00,+5.415E-03
-998.001E-03,+3.296595E+00,+31.671E-03
-997.001E-03,+3.300063E+00,+35.565E-03
-996.001E-03,+3.302512E+00,+21.055E-03
-995.001E-03,+3.302073E+00,+21.055E-03
-994.001E-03,+3.307437E+00,+21.055E-03
-993.001E-03,+3.300063E+00,+21.055E-03
-992.001E-03,+3.306759E+00,+21.055E-03
-991.001E-03,+3.319472E+00,+21.055E-03
-990.001E-03,+3.304862E+00,+30.540E-03
-989.001E-03,+3.300063E+00,+6.545E-03
-988.001E-03,+3.298945E+00,+20.490E-03
-987.001E-03,+3.302965E+00,-3.505E-03
-986.001E-03,+3.298718E+00,-8.530E-03
-985.001E-03,+3.302965E+00,-19.146E-03
-984.001E-03,+3.306985E+00,-39.246E-03
-983.001E-03,+3.355703E+00,-3.505E-03
-982.001E-03,+3.298945E+00,+955E-06
-981.001E-03,+3.315691E+00,+41.156E-03
-980.001E-03,+3.299510E+00,+21.055E-03
-979.001E-03,+3.302965E+00,+25.515E-03
-978.001E-03,+3.298945E+00,+21.055E-03
-977.001E-03,+3.288455E+00,+21.055E-03
-976.001E-03,+3.302965E+00,+41.156E-03
-975.001E-03,+3.296708E+00,+5.415E-03
-974.001E-03,+3.300842E+00,+21.055E-03
-973.001E-03,+3.302965E+00,+21.055E-03
-972.001E-03,+3.295151E+00,+21.055E-03
-971.001E-03,+3.297600E+00,+955E-06
-970.001E-03,+3.306985E+00,-19.146E-03
-969.001E-03,+3.301181E+00,-19.146E-03
-968.001E-03,+3.298945E+00,-38.681E-03
-967.001E-03,+3.300729E+00,-19.146E-03
-966.001E-03,+3.303191E+00,+955E-06
-965.001E-03,+3.302299E+00,+21.055E-03
-964.001E-03,+3.299171E+00,+21.055E-03
-963.001E-03,+3.298053E+00,+16.595E-03
-962.001E-03,+3.290904E+00,+21.055E-03
-961.001E-03,+3.298945E+00,+21.055E-03
-960.001E-03,+3.314686E+00,+21.055E-03
-959.001E-03,+3.298945E+00,+25.515E-03
-958.001E-03,+3.299171E+00,+11.570E-03
-957.001E-03,+3.300063E+00,+21.055E-03
-956.001E-03,+3.306759E+00,+955E-06
-955.001E-03,+3.305641E+00,+21.055E-03
-954.001E-03,+3.301068E+00,+955E-06
-953.001E-03,+3.304083E+00,-4.636E-03
-952.001E-03,+3.302512E+00,-19.146E-03
-951.001E-03,+3.301181E+00,-43.706E-03
-950.001E-03,+3.298945E+00,-8.530E-03
